label;text
4;I stalk this truck.  I've been to industrial parks where I pretend to be a tech worker standing in line, strip mall parking lots, and of course the farmer's market.  The bowls are so so absolutely divine.  The owner is super friendly and he makes each bowl by hand with an incredible amount of pride.  You gotta eat here guys!!!
2;who really knows if this is good pho or not, i was hung tha fuck over and in desperate need of pho therapy. :P but it totally hit the spot and came out super freakin fast!!! omg! aaahhhhh.....\n\ni'm pretty sure it wasn't bad pho tho...meat, noodles, broth, all a-ok. the coffee was good too. thought i was gettin ripped off for a $3 cup of coffee but they gave me a big cup so it's all good! :)\n\nima make pho a must the next time i go to vegas again fo sure!!! yum! :D
4;I LOVE Bloom Salon... all of their stylist are very qualified and provide excellent hair care...I prefer to book my appointments with Andrea, but if she is not available I am not afraid to book with anyone else.  Not only does this salon provide hair care, but they also offer skin, nails and massage therapy!!  What a great place with a relaxing atmosphere...I HIGHLY recommend this place.
0;We were excited to eat here, it is difficult to find. They were closed at 3 p.m. on a Saturday.
2;So this is a place, with food. That much cannot be denied. But you know what? It's a small airport restaurant, and if you're flying in for a $100 hamburger, then a $100 hamburger you can have. And patty melts. And salads. And whatever other Sysco-type delights you might expect. (It was even prime rib night when we were there, but as it was 20 minutes til closing time, I thought better of it.)\n\nI had a perfectly reasonable patty melt myself, and I enjoyed it. The service was really nice, and the views out the window of the evening traffic on approach were phenomenal. Plus, *tons* of model airplanes hanging from the ceiling in the dining area, which was a fun touch.
2;Review for the Lounge/Club:\nEvery time I go to Vegas this is always one of my stops- primarily because of the view. I started going years ago before it was super hyped up and packed almost all the time. I also remember the days when the Witch Doctors were twice the size they are now (and weaker than they used to be!). Voodoo hasn't changed much in the past 5 years except going cheap on the drinks and over packing the club with VIP sections that are unused (which is totally annoying if you're trying to see the view without a bunch of drunk asses running into you). \n\nThe DJs are consistently good and it has a very, very mixed crowd. However, I only keep coming back for the view- it doesn't compare to anything else. Ghost Bar has nothing on this place. \n\nAlso, over the years the award winning flair bartending has leveled off (I think I saw one bottle throw the whole time we were there) and it's not nearly the show it used to be which is really disappointing. If you ever have a chance to catch the episode of Three Sheets on Spike where Zane goes to Vegas- you'll see what I mean. The show was filmed several years ago and even there you can see the Witch Doctor and the flair are way better than they are now. \n\nFor newcomers I think this is a great place to at least see once just because the view is so amazing. However, for those who have been going back over and over again- it's turning into a huge disappointment. \n\nFor the Restaurant:\n\nI've dined here several times and price-wise it runs about the same as any other high end steak house you'd find on the strip. Mostly we ate here out of convenience since the selection at Rio isn't the greatest for food. The service has been reasonably decent and the food was good however, if dinner is going to cost around $100 a person I want to be wowed. The whole experience didn't seem like a 5 star dining like when we went to Strip House (wow! by the way). The servers were friendly but only slightly knowledgeable about the wine list and it seemed like there wasn't enough coverage for the tables which made dinner take forever. I don't really remember much more than that which is disappointing because I wish it were more memorable for the price paid. Been there, done that- won't be back to Voodoo Steak when there's so many better options for the same price.
3;I've been going here a lot(pretty much a regular you could say.) It's a good place to include in your bar hopping plans. Wandos too busy? Fooseball taken at Vintage? Swing by Red Shed. It's also one of the few bars you can actually have a conversation at some  nights. One of my minor complaints is the jukebox. If there is no songs playing..it's just that--quiet. And at certain points in the night, you can hear a pin drop. Lines for the bathroom is sometimes annoying and I've felt really bad for the ladies here who have sometimes waited 30 minutes before the line moved one person :P
0;"I went to Sole on the weekend and found that it was so crowded and noisy I thought I would wait till later.  What better night to feed my paella hungrys than tonight when it rained cats and dogs - I was seated immediately and the noise level was bearable.  I ordered a house salad, paella Valenciana, thought I might have a dessert after.  I was served a very small roll with a small piece of very cold, hard butter and waited.  The salad was better than the standard peter rabbit variety of lettuce with a slice of tomato and was not ice cold, certainly a plus.  The paella came in a traditional paella dish with, I kid you not, three small clams, three muscles, a few pieces of squid, and a few shrimp.  The rice had little saffron flavor. The Sofrito  was extremely bland with little of the spices that one associates with this dish.  Basically Sole prepares this \""all at once\"" so the flavors have little or no chance to \""marry up\"" and the sea food being overcooked is rubbery. In other words you must \""reserve\"" the sea food and add it back in at the last moment.  As for the rice it should not be disturbed at the end of cooking so the socarrat (a crispy caramelized rice) can form in the bottom of the pan (See recipe below).  I think if you can buy canned paella and warm it up in a microwave it might be a close approximation of this abomination.  On the way out I was asked  about how I liked my meal.  When I proceeded to explain to him why I was so disappointed he ask first where I had eaten  paella and suggested that next time i should probably eat it some where else.  At no time was I rude to this person and I was frankly astonished at his attitude.  So to all you yelpers I suggest that you too might want to consider trying to find real Spanish food somewhere else.  For my friend at Sole I hope that even though he assures me that never in 8 years has he had a complaint about their  paella he will take the time next time to have the real thing at either of the fine restaurants that I have referenced in NYC.  He might also like to check out this recipe- noting the importance of the socarrat, the Sofrito, and the gradual \""building\"" of the paella\n\nhttp://www.yelp.com/biz/el-charro-espanol-new-york#query:spanish%20food\n\nThis restaurant is a treasure and has been  serving a very special crowd for over thirty years.\n\nhttp://www.yelp.com/biz/socarrat-paella-bar-new-york\nFor those who are not quiet as adventuresome as might be demanded by tiny little el Charro this is one of NY's best Spanish restaurants.\n\nhttp://www.paellapans.com/Paella-Recipe-Seafood-a/142.htm\nThis is close to the paella that I am accustomed to eating at el-Charro's -  note the emphasis on the proper forming of the Socarrat\n\nRegardless of all this.  Common courtesy is something that I expect from any restaurant.  This place comes up short on just about every thing."
0;Went in on a sunday afternoon. Place was dead. Wasn't greeted, sat at a table and was not helped. Waited 10 minutes, still no service. Walked out and still heard nothing from staff. \n\nIf time and service are important to you stay away from Hob Nob.
4;I have lived here in Phoenix for 9 months now and have had a tough time finding a hair salon as I have thick, curly hair. I have been buying groupons for many places trying them out and none have worked. I bought the groupon for The Green Room to try it out and am absolutely in love with them! \n\nSteph was my stylist and she was amazing! I came in with a specific color I wanted as I will be leaving for two out of town weddings this month and she consulted the owner to make sure I got the right color. They would not let me leave until my color was perfect (my cut was amazing as well)! Eric (the owner) even took time to blow dry my hair after Stephanie's next client came.\n\nI will definitely be going back in the future for cuts and colors. The place was cute and cozy and the staff was super friendly. They definitely made me feel like they cared about me and what I wanted where the other salons just put a color on and let me go. So glad I found them and have found my new salon!
0;Totally gone down the tube. Way overpriced for food out of a box. Deserts are dry, old and inedible. Meat is like boot leather. The oysters stunk of dead fish. Plus just like the Paradise Buffet at Freemont, they were stuck to the shell. Very old.\n   Wait staff was as rude as they come. Wanted a 20% gratuity for my party of 8. This is a BUFFET dang it. WE get our OWN FOOD. Then they seated us 4 to a table across the room from each other. The buffet had 15 people in it. They did this out of spite. Stay away.
4;I look forward to every visit! I always get exactly what I ask for.  I prefer the more natural look and she always delivers! I enjoy my many compliments but always give her the credit she deserves. She is a beautiful artist who makes me feel beautiful too. Thanks!!
3;There were three of us. Atmosphere was great. Menu was confusing on what to share, what to do. Once we studied it, we decided that two of us would share traditional California Roll and Shrimp Tempura Roll sushi to begin. These were very fresh and very good.  It was probably one of the best but not the best we have had. Then, these two would share the Shrimp and Lobster with Spicy Lemon ($38). It was served in a small deep dish skillet with veggies. It was a good size dish actually. I was afraid we were taking a risk to share, but it worked out. It was more pepper than a spicy with the lemon flavor. It was good but not over the top amazing. \n\nThe other person ordered miso soup. She liked it fine. She ordered chicken and veggie skewer ($15 ea) and white rice. She liked it well. \n\nGlass of wine ranged $15-$19 each. I had the $19 Russian river glass. It was great. Various cocktails looked fun.\n\nFinal bill was approx $60 each.
